country_id,country_name,vendor_set_group,group_pairs,mean_abs_combined_change_usd,median_abs_combined_change_usd,max_abs_combined_change_usd,changing_set_share_of_valid_pairs,changing_set_share_of_absolute_movement
GB,United Kingdom,Changing set,33,0.008540832102906602,0.00495621413367319,0.0388770434426863,0.09217877094972067,0.0430533581600414
GB,United Kingdom,Stable set,325,0.01927575750411842,0.0014858186143256,2.3808282180191047,0.09217877094972067,0.0430533581600414
US,United States,Changing set,32,0.016750868592358154,0.010990439788836705,0.06927098589820352,0.0893854748603352,0.06570153445859707
US,United States,Stable set,326,0.023381901835998125,0.009732380677930585,0.14489533726855527,0.0893854748603352,0.06570153445859707
ID,Indonesia,Changing set,8,0.009218702747065158,0.0019548718313789452,0.03281956676975139,0.0223463687150838,0.01434765393688858
ID,Indonesia,Stable set,350,0.014475534913667187,0.001922298666182495,1.9042231497773443,0.0223463687150838,0.01434765393688858
